Code,Description
332722,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing"
513130,"Book Publishers (except for facilities primarily engaged in web search portals and except for facilities previously classified under SIC 7331, Direct Mail Advertising Services and SIC 8999, Services Not Elsewhere Classified)"
323117,Books Printing
313210,Broadwoven Fabric Mills
339994,"Broom, Brush, and Mop Manufacturing"
339995,Burial Casket Manufacturing
334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing"
335991,Carbon and Graphite Product Manufacturing
339944,Carbon Paper and Inked Ribbon Manufacturing
314110,Carpet and Rug Mills
327310,Cement Manufacturing
327120,Clay Building Material and Refractories Manufacturing
333310,Commercial and Service Industry Machinery Manufacturing
323111,"Commercial Printing (Except Screen and Books) (except facilities previously classified under SIC 7334, Photocopying and Duplicating Services)"
323113,Commercial Screen Printing
335132,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing"
325315,Compost Manufacturing
334112,Computer Storage Device Manufacturing
334118,Computer Terminal and Other Computer Peripheral Equipment Manufacturing
327331,Concrete Block and Brick Manufacturing
327332,Concrete Pipe Manufacturing
333120,Construction Machinery Manufacturing
333922,Conveyor and Conveying Equipment Manufacturing
331420,"Copper Rolling, Drawing, Extruding, and Alloying"
212230,"Copper, Nickel, Lead, and Zinc Mining"
322211,Corrugated and Solid Fiber Box Manufacturing
339914,Costume Jewelry and Novelty Manufacturing
335931,Current-Carrying Wiring Device Manufacturing
314120,"Curtain and Linen Mills (except facilities previously classified under SIC 5714, Drapery, Curtain, and Upholstery Stores)"
337212,Custom Architectural Woodwork and Millwork Manufacturing
325991,Custom Compounding of Purchased Resins
332114,Custom Roll Forming
315210,Cut and Sew Apparel Contractors
315250,Cut and Sew Apparel Manufacturing (except Contractors)
321912,"Cut Stock, Resawing Lumber, and Planing"
327991,Cut Stone and Stone Product Manufacturing
333515,Cutting Tool and Machine Tool Accessory Manufacturing
325194,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing"
339114,Dental Equipment and Supplies Manufacturing
513140,"Directory and Mailing List Publishers (except for facilities primarily engaged in web search portals and except for facilities previously classified under SIC 7331, Direct Mail Advertising Services and SIC 8999, Services Not Elsewhere Classified)"
339930,"Doll Toy, and Game Manufacturing"
221121,Electric Bulk Power Transmission and Control (limited to facilities that combust coal and/or oil for the purpose of generating power for distribution in commerce)
335139,Electric Lamp Bulb and Other Lighting Equipment Manufacturing
221122,Electric Power Distribution (limited to facilities that combust coal and/or oil for the purpose of generating power for distribution in commerce)
334510,Electromedical and Electrotherapeutic Apparatus Manufacturing
334111,Electronic Computer Manufacturing
334417,Electronic Connector Manufacturing
332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring"
333921,Elevator and Moving Stairway Manufacturing
321215,Engineered Wood Member Manufacturing
325920,Explosives Manufacturing
313320,Fabric Coating Mills
332996,Fabricated Pipe and Pipe Fitting Manufacturing
332312,Fabricated Structural Metal Manufacturing
333111,Farm Machinery and Equipment Manufacturing
339993,"Fastener, Button, Needle, and Pin Manufacturing"
325314,Fertilizer (Mixing Only) Manufacturing
335921,Fiber Optic Cable Manufacturing
313110,"Fiber, Yarn, and Thread Mills"
327211,Flat Glass Manufacturing
333995,Fluid Power Cylinder and Actuator Manufacturing
333996,Fluid Power Pump and Motor Manufacturing
332912,Fluid Power Valve and Hose Fitting Manufacturing
322212,Folding Paperboard Box Manufacturing
333241,Food Product Machinery Manufacturing
316210,Footwear Manufacturing
221112,Fossil Fuel Electric Power Generation (limited to facilities that combust coal and/or oil for the purpose of generating power for distribution in commerce)
339932,"Game, Toy, and Children’s Vehicle Manufacturing"
339991,"Gasket, Packing, and Sealing Device Manufacturing"
221116,Geothermal Electric Power Generation (limited to facilities that combust coal and/or oil for the purpose of generating power for distribution in commerce)
327213,Glass Container Manufacturing
327215,Glass Product Manufacturing Made of Purchased Glass
212220,Gold Ore and Silver Ore Mining
513191,"Greeting Card Publishers (except for facilities primarily engaged in web search portals and except for facilities previously classified under SIC 7331, Direct Mail Advertising Services and SIC 8999, Services Not Elsewhere Classified)"
327992,Ground or Treated Mineral and Earth Manufacturing
336414,Guided Missile and Space Vehicle Manufacturing
336415,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing
327420,Gypsum Product Manufacturing
332510,Hardware Manufacturing
321211,Hardwood Veneer and Plywood Manufacturing
562112,"Hazardous Waste Collection (limited to facilities primarily engaged in solvent recovery services on a contract or fee basis, which were previously classified under SIC 7389, Business Services, Not Elsewhere Classified)"
562211,"Hazardous Waste Treatment and Disposal (limited to facilities regulated under the Resource Conservation and Recovery Act, subtitle C, 42 U.S.C. 6921, et seq.)"
333414,Heating Equipment (except Warm Air Furnaces) Manufacturing
336120,Heavy Duty Truck Manufacturing
337126,Household Furniture (except Wood and Upholstered) Manufacturing
221111,Hydroelectric Power Generation (limited to facilities that combust coal and/or oil for the purpose of generating power for distribution in commerce)
333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing
325120,Industrial Gas Manufacturing
333511,Industrial Mold Manufacturing
333994,Industrial Process Furnace and Oven Manufacturing
333924,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing"
332911,Industrial Valve Manufacturing
337127,Institutional Furniture Manufacturing
334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals
334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables"
332111,Iron and Steel Forging
331110,Iron and Steel Mills and Ferroalloy Manufacturing
331210,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel
331511,Iron Foundries
334517,Irradiation Apparatus Manufacturing
339913,Jewelers’ Material and Lapidary Work Manufacturing
339910,Jewelry and Silverware Manufacturing
212323,"Kaolin, Clay, and Ceramic and Refractory Minerals Mining (limited to facilities operating without a mine or quarry and previously classified under SIC 3295, Minerals and Earths, Ground or Otherwise Treated)"
313241,Knit Fabric Mills
326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing"
333112,Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing
339942,Lead Pencil and Art Goods Manufacturing
316110,Leather and Hide Tanning and Finishing
327410,Lime Manufacturing
113310,Logging
332710,Machine Shops
333517,Machine Tool Manufacturing
335220,Major Household Appliance Manufacturing
311213,Malt Manufacturing
321991,Manufactured Home (Mobile Home) Manufacturing
334610,"Manufacturing and Reproducing Magnetic and Optical Media (except facilities previously classified under SIC 7372, Prepackaged Software; and to facilities previously classified under SIC 7819, Services Allied to Motion Picture Production)"
339943,Marking Device Manufacturing
562920,"Materials Recovery Facilities (limited to facilities regulated under the Resource Conservation and Recovery Act, subtitle C, 42 U.S.C. 6921, et seq.)"
337910,Mattress Manufacturing
333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing"
333613,Mechanical Power Transmission Equipment Manufacturing
516210,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers (limited to Internet publishing facilities previously classified under SIC 2711, Newspapers: Publishing, or Publishing and Printing; facilities previously classified under SIC 2721, Periodicals: Publishing, or Publishing and Printing; facilities previously classified under SIC 2731, Books: Publishing, or Publishing and Printing; facilities previously classified under SIC 2741, Miscellaneous Publishing; facilities previously classified under SIC 2771, Greeting Cards; Except for facilities primarily engaged in web search portals)"
325411,Medicinal and Botanical Manufacturing
332431,Metal Can Manufacturing
332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers"
332119,"Metal Crown, Closure, and Other Metal Stamping (Except Automotive)"
332811,Metal Heat Treating
332215,"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing"
332420,Metal Tank (Heavy Gauge) Manufacturing
332321,Metal Window and Door Manufacturing
336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing"
327993,Mineral Wool Manufacturing
333131,Mining Machinery and Equipment Manufacturing
335312,"Motor and Generator Manufacturing (except facilities previously classified under SIC 7694, Armature Rewinding Shops)"
336213,Motor Home Manufacturing
336211,Motor Vehicle Body Manufacturing
336340,Motor Vehicle Brake System Manufacturing
336320,Motor Vehicle Electrical and Electronic Equipment Manufacturing
336310,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing
336370,Motor Vehicle Metal Stamping
336390,Motor Vehicle Parts Manufacturing
336360,Motor Vehicle Seating and Interior Trim Manufacturing
336330,Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing
336350,Motor Vehicle Transmission and Power Train Parts Manufacturing
336991,"Motorcycle, Bicycle, and Parts Manufacturing"
512230,"Music Publishers (except facilities previously classified under SIC 8999, Services, Not Elsewhere Classified)"
339992,Musical Instrument Manufacturing
313220,Narrow Fabric Mills and Schiffli Machine Embroidery
221210,"Natural Gas Distribution (limited to facilities previously classified under SIC 4931, Electric and Other Services Combined and facilities previously classified under SIC 4939, Combination Utilities, Not Elsewhere Classified)"
211130,"Natural Gas Extraction (limited to facilities classified under SIC 1321, Natural Gas Liquids and facilities that recover sulfur from natural gas previously classified under SIC 2819, Industrial Inorganic Chemicals, Not Elsewhere Classified) "
513110,"Newspaper Publishers (except for facilities primarily engaged in web search portals and except for facilities previously classified under SIC 7331, Direct Mail Advertising Services and SIC 8999, Services Not Elsewhere Classified)"
325311,Nitrogenous Fertilizer Manufacturing
337122,"Non-upholstered Wood Household Furniture Manufacturing (except facilities previously classified under SIC 5712, Furniture Stores)"
335932,Noncurrent-Carrying Wiring Device Manufacturing
332112,Nonferrous Forging
331410,Nonferrous Metal (except Aluminum) Smelting and Refining
331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding"
331523,Nonferrous Metal Die-Casting Foundries
313230,Nonwoven Fabric Mills
221113,Nuclear Electric Power Generation (limited to facilities that combust coal and/or oil for the purpose of generating power for distribution in commerce)
337214,Office Furniture (except Wood) Manufacturing
339940,Office Supplies (except Paper) Manufacturing
333132,Oil and Gas Field Machinery and Equipment Manufacturing
339115,"Ophthalmic Goods Manufacturing (except lens grinding facilities previously classified under SIC 5995, Optical Goods Stores)"
332323,Ornamental and Architectural Metal Work Manufacturing
336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing
331318,"Other Aluminum Rolling, Drawing, and Extruding"
325180,Other Basic Inorganic Chemical Manufacturing
424690,Other Chemical and Allied Products Merchant Wholesalers
335929,Other Communication and Energy Wire Manufacturing
334290,Other Communications Equipment Manufacturing
327390,Other Concrete Product Manufacturing
315290,"Other Cut and Sew Apparel Manufacturing (except facilities previously classified under SIC 5699, Miscellaneous Apparel and Accessory Stores)"
221118,Other Electric Power Generation (limited to facilities that combust coal and/or oil for the purpose of generating power for distribution in commerce)
334419,Other Electronic Component Manufacturing
333618,Other Engine Equipment Manufacturing
332618,Other Fabricated Wire Product Manufacturing
336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing
316990,Other Leather and Allied Product Manufacturing
334519,Other Measuring and Controlling Device Manufacturing
332439,Other Metal Container Manufacturing
212290,"Other Metal Ore Mining (limited to facilities previously classified under SIC 1061, Ferroalloy Ores, Except Vanadium (nickel); and facilities previously classified under SIC 1099, Miscellaneous Metal Ores, Not Elsewhere Classified)"
332919,Other Metal Valve and Pipe Fitting Manufacturing
321918,Other Millwork (including Flooring)
331529,Other Nonferrous Metal Foundries (except Die-Casting)
562219,"Other Nonhazardous Waste Treatment and Disposal (limited to facilities regulated under the Resource Conservation and Recovery Act, subtitle C, 42 U.S.C. 6921, et seq.)"
212390,"Other Nonmetallic Mineral Mining and Quarrying (limited to facilities previously classified under SIC 3295, Minerals and Earths, Ground or Otherwise Treated)"
322219,Other Paperboard Container Manufacturing
811490,"Other Personal and Household Goods Repair and Maintenance (limited to facilities previously classified under SIC 3732, Boat Building and Repairing.)"
327212,Other Pressed and Blown Glass and Glassware Manufacturing
488390,"Other Support Activities for Water Transportation (limited to facilities previously classified under SIC 3731, Shipbuilding and Repairing)"
333923,"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing"
333993,Packaging Machinery Manufacturing
325510,Paint and Coating Manufacturing
322220,Paper Bag and Coated and Treated Paper Manufacturing
322120,Paper Mills
322130,Paperboard Mills
513120,"Periodical Publishers (except for facilities primarily engaged in web search portals and except for facilities previously classified under SIC 7331, Direct Mail Advertising Services and SIC 8999, Services Not Elsewhere Classified)"
325110,Petrochemical Manufacturing
424710,Petroleum Bulk Stations and Terminals
324191,Petroleum Lubricating Oil and Grease Manufacturing
324110,Petroleum Refineries
325412,Pharmaceutical Preparation Manufacturing
325312,Phosphatic Fertilizer Manufacturing
325992,"Photographic Film, Paper, Plate, and Chemical Manufacturing"
326111,Plastics Bag and Pouch Manufacturing
326160,Plastics Bottle Manufacturing
325211,Plastics Material and Resin Manufacturing
326112,Plastics Packaging Film and Sheet (including Laminated) Manufacturing
326122,Plastics Pipe and Pipe Fitting Manufacturing
326191,Plastics Plumbing Fixture Manufacturing
332313,Plate Work Manufacturing
332913,Plumbing Fixture Fitting and Trim Manufacturing
325612,Polish and Other Sanitation Good Manufacturing
326140,Polystyrene Foam Product Manufacturing
327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing (except facilities previously classified under SIC 5719, Miscellaneous Home Furnishings Stores)"
332117,Powder Metallurgy Part Manufacturing
332410,Power Boiler and Heat Exchanger Manufacturing
335311,"Power, Distribution, and Specialty Transformer Manufacturing"
333991,Power-Driven Handtool Manufacturing
332721,Precision Turned Product Manufacturing
332311,Prefabricated Metal Building and Component Manufacturing
321992,Prefabricated Wood Building Manufacturing
334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing
325910,Printing Ink Manufacturing
322110,Pulp Mills
334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing
336510,Railroad Rolling Stock Manufacturing
327320,Ready-Mix Concrete Manufacturing
321219,Reconstituted Wood Product Manufacturing
512250,"Record Production and Distribution (limited to facilities previously classified under SIC 3652, Phonograph Records and Prerecorded Audio Tapes and Disks)"
335314,Relay and Industrial Control Manufacturing
311613,Rendering and Meat Byproduct Processing
541713,"Research and Development in Nanotechnology (limited to facilities previously classified under SIC 3764, Guided Missile and Space Vehicle Propulsion Units and Propulsion Unit Parts; and facilities previously classified under SIC 3769, Guided Missile and Space Vehicle Parts and Auxiliary Equipment, Not Elsewhere Classified.)"
541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology) (limited to facilities previously classified under SIC 3764, Guided Missile and Space Vehicle Propulsion Units and Propulsion Unit Parts; and facilities previously classified under SIC 3769, Guided Missile and Space Vehicle Parts and Auxiliary Equipment, Not Elsewhere Classified)"
335131,Residential Electric Lighting Fixture Manufacturing
331221,Rolled Steel Shape Manufacturing
333519,Rolling Mill and Other Metalworking Machinery Manufacturing
314994,"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills"
326220,Rubber and Plastics Hoses and Belting Manufacturing
326291,Rubber Product Manufacturing for Mechanical Use
322291,Sanitary Paper Product Manufacturing
332216,Saw Blade and Hand tool Manufacturing
333243,"Sawmill, Woodworking, and Paper Machinery Manufacturing"
321113,Sawmills
334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing"
331314,Secondary Smelting and Alloying of Aluminum
331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)"
334413,Semiconductor and Related Device Manufacturing
333242,Semiconductor Machinery Manufacturing
332322,Sheet Metal Work Manufacturing
336611,Ship Building and Repairing
337215,"Showcase, Partition, Shelving, and Locker Manufacturing"
339950,Sign Manufacturing
339912,Silverware and Hollowware Manufacturing
332992,Small Arms Ammunition Manufacturing
332994,"Small Arms, Ordnance, and Ordnance Accessories Manufacturing"
335210,Small Electrical Appliance Manufacturing
325611,Soap and Other Detergent Manufacturing
321212,Softwood Veneer and Plywood Manufacturing
221114,Solar Electric Power Generation (limited to facilities that combust coal and/or oil for the purpose of generating power for distribution in commerce)
562213,"Solid Waste Combustors and Incinerators (limited to facilities regulated under the Resource Conservation and Recovery Act, subtitle C, 42 U.S.C. 6921, et seq.)"
562212,"Solid Waste Landfill (limited to facilities regulated under the Resource Conservation and Recovery Act, subtitle C, 42 U.S.C. 6921, et seq.)"
333514,"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing"
333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing"
339920,Sporting and Athletic Goods Manufacturing
332613,Spring Manufacturing
322230,Stationery Product Manufacturing
221330,"Steam and Air Conditioning Supply (limited to facilities previously classified under SIC 4939, Combination Utilities, Not Elsewhere Classified.)"
331513,Steel Foundries (except Investment)
331512,Steel Investment Foundries
331222,Steel Wire Drawing
323120,Support Activities for Printing
325613,Surface Active Agent Manufacturing
212114,Surface Coal Mining
335313,Switchgear and Switchboard Apparatus Manufacturing
325130,Synthetic Dye and Pigment Manufacturing
325212,Synthetic Rubber Manufacturing
334210,Telephone Apparatus Manufacturing
313310,"Textile and Fabric Finishing Mills (except facilities previously classified under SIC 5131, Piece Goods, Notions, and Other Dry Goods; and facilities previously classified under SIC 7389, Business Services, Not Elsewhere Classified. This exception does not apply to facilities primarily engaged in solvent recovery services on a contract or fee basis)"
314910,Textile Bag and Canvas Mills
326211,Tire Manufacturing (except Retreading)
326212,"Tire Retreading (except facilities previously classified under SIC 7534, Tire Retreading and Repair Shops)"
325620,Toilet Preparation Manufacturing
334514,Totalizing Fluid Meter and Counting Device Manufacturing
336214,Travel Trailer and Camper Manufacturing
336212,Truck Trailer Manufacturing
333611,Turbine and Turbine Generator Set Units Manufacturing
212115,Underground Coal Mining
326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing
326121,Unlaminated Plastics Profile Shape Manufacturing
337121,"Upholstered Household Furniture Manufacturing (except facilities previously classified under SIC 5712, Furniture Stores)"
326150,Urethane and Other Foam Product (except Polystyrene) Manufacturing
519290,"Web Search Portals and All Other Information Services (limited to Internet publishing facilities previously classified under SIC 2711, Newspapers: Publishing, or Publishing and Printing; facilities previously classified under SIC 2721, Periodicals: Publishing, or Publishing and Printing; facilities previously classified under SIC 2731, Books: Publishing, or Publishing and Printing; facilities previously classified under SIC 2741, Miscellaneous Publishing; facilities previously classified under SIC 2771, Greeting Cards; Except for facilities primarily engaged in web search portals)"
333992,Welding and Soldering Equipment Manufacturing
425120,"Wholesale Trade Agents and Brokers (limited to facilities previously classified in 5169, Chemicals and Allied Products, NEC)"
221115,Wind Electric Power Generation (limited to facilities that combust coal and/or oil for the purpose of generating power for distribution in commerce)
321920,Wood Container and Pallet Manufacturing
337110,"Wood Kitchen Cabinet and Countertop Manufacturing (except facilities previously classified under SIC 5712, Furniture Stores)"
337211,Wood Office Furniture Manufacturing
321114,Wood Preservation
321911,Wood Window and Door Manufacturing
